X,Y,name,num,adress,shcuna,zerem,x_coord,y_coord,semel,level,ganenet,sayaat,רחוב,מספר_בית,icon_url
34.9524735315934,32.0884353541261,אקליפטוס,1.00000000000,המיילדת 5,שבזי,ממ''ד,195669.69360699999,666152.68888799998,"204081",חובה,,,המילדת,5.000000,./0.png
34.9448742675519,32.0978992418744,גן מוסיקלי,1.00000000000,זכריה משה 9,שבזי,ממלכתי,194954.81902200001,667203.84309400001,"0",חובה,,,זכריה משה,9.000000,./0.png
34.9725906811752,32.0910492230345,כרכום,1.00000000000,כינור 28,נווה אפק,ממלכתי,197569.45298199999,666438.28235999995,"900910",ט. חובה,,,כינור,28.000000,./0.png
34.9571000257389,32.0881376051768,יקינטון,1.00000000000,רמת הגולן 87,מצפה אפק,ממלכתי,196106.37687899999,666118.66066800000,"900902",חובה,,,רמת הגולן,87.000000,./0.png
34.9547364924473,32.0879903600284,סיתונית,1.00000000000,הר המור 4,מצפה אפק,ממלכתי,195883.21166700000,666102.84666799998,"204511",ט. חובה,,,הר  המור,4.000000,./0.png
34.9747931317807,32.0933319349269,צוקית,1.00000000000,ברקן 2,נווה אפק,ממלכתי,197777.90572899999,666690.96789400000,"204545",ט. חובה,,,ברקן,2.000000,./0.png
34.9567358854678,32.090107827297,רעות-אחווה שילוב,1.00000000000,רש''י 120,הרקפות,תורני,196072.50220300001,666337.21782200004,"225805",חובה,,,רש''י,120.000000,./0.png
34.9631930527068,32.1018774601536,הרדוף,1.00000000000,הדרור 33,גבעת הסלעים,ממ''ד,196684.99197700000,667640.97407899995,"197632",חובה,,,הדרור,33.000000,./0.png
34.9485235598264,32.1023356770749,קשת,1.00000000000,יחיא יצחק הלוי 20,צה''ל,ממ''ד,195300.45842400001,667694.97790000006,"372342",ט. חובה,,,יחיא יצחק הלוי,20.000000,./0.png
34.9457815261538,32.0921405986031,עוגב,1.00000000000,ספיר יעקב 10,שבזי,ממ''ד,195038.92748700001,666565.05953900004,"355487",ט. חובה,,,ספיר יעקב,10.000000,./0.png
34.9466257768995,32.0970332814733,חליל,1.00000000000,מוזס עפרה 4,אביב,ממ''ד,195119.92173900001,667107.41984800005,"355495",ט. חובה,,,מוזס עפרה,4.000000,./0.png
34.9566116224294,32.0900087110513,תמר,1.00000000000,רש''י 120,הרקפות,תורני,196060.74625299999,666326.25374700001,"345942",ט. חובה,,,רש''י,120.000000,./0.png
34.947373254833,32.104364387813,תאנה,1.00000000000,יהושוע בן נון 70,צה''ל,ממלכתי,195192.41791600001,667920.20082999999,"204479",חובה,,,יהושע בן נון,70.000000,./0.png
34.9474740789782,32.1045335268607,נופר,1.00000000000,יהושוע בן נון 70,צה''ל,ממלכתי,195201.97915500001,667938.93405599997,"116798",ט. חובה,,,יהושע בן נון,70.000000,./0.png
34.95771584379,32.1018851810205,יסמין,1.00000000000,ורדית 2 פינת גזית,גבעת הסלעים,ממלכתי,196168.00000000000,667643.00000000000,"135756",חובה,,,ורדית,2.000000,./0.png
34.9546123572519,32.0852675062169,ערבה,1.00000000000,מגדל דוד 28,מצפה אפק,ממ''ד,195870.79353900001,665800.93616200006,"135772",ט. חובה,,,מגדל דוד,28.000000,./0.png
34.9638016565076,32.0943982231406,מור,1.00000000000,אילנות 11,גבעת טל,ממלכתי,196740.58750299999,666811.47083200002,"159392",ט. חובה,,,אילנות,11.000000,./0.png
34.9639037854075,32.0941850507478,לבונה,1.00000000000,אילנות 13,גבעת טל,ממלכתי,196750.17551999999,666787.81059000001,"116806",חובה,,,אילנות,13.000000,./0.png
34.9716445176407,32.0959719635457,לילך,1.00000000000,הא באייר 120,נווה אפק,ממלכתי,197481.31225399999,666984.35840499995,"204362",ט. חובה,,,ה' באייר,120.000000,./0.png
34.9619366496093,32.1026277394506,אשל,1.00000000000,יונה 1,גבעת הסלעים,ממלכתי,196566.58715800001,667724.43884500000,"204602",ט. חובה,,,יונה,1.000000,./0.png
34.9521908125333,32.0969233441762,הדר,1.00000000000,ג'ון קנדי 49 א,אביב,תורני,195645.20504800000,667093.98664000002,"720581",ט. חובה,,,ג'ון קנדי,49.000000,./0.png
34.9425156831824,32.0971662188519,פיקוס,1.00000000000,העצמאות 27,רמב''ם,ממלכתי,194731.98496999999,667123.09618200001,"204289",חובה,,,העצמאות,27.000000,./0.png
34.948582198991,32.1020308109693,גפן,1.00000000000,יצחק הלוי 29,צה''ל,תורני,195305.91313700000,667661.15803100006,"422899",ט. חובה,,,יצחק הלוי,29.000000,./0.png
34.9467319313885,32.0968929132082,"שיל""ת",1.00000000000,מוזס עפרה 4,אביב,תורני,195129.90500400000,667091.83041199995,"375279",ט. חובה,,,מוזס עפרה,4.000000,./0.png
34.9405145929721,32.09904043196,אלון,1.00000000000,גלוסקא 4,רמב''ם,תורני,194543.60080499999,667331.38892299996,"749069",ט. חובה,,,גלוסקא,4.000000,./0.png
34.942589587085,32.0961502981326,הדס,1.00000000000,עצמאות 7,רמב''ם,תורני,194738.68760100001,667010.42342600005,"16071",ט. חובה,,,עצמאות,7.000000,./0.png
34.9421461969602,32.0969893570808,מיתר,1.00000000000,העצמאות 29,רמב''ם,ממלכתי,194697.05964200001,667103.56868100003,"204420",חובה,,,העצמאות,29.000000,./0.png
34.965709876974,32.0976113009956,זמיר,1.00000000000,חרצית  2,גבעת טל,ממלכתי,196921.50781600000,667167.36958499998,"204461",ט. חובה,,,חרצית,2.000000,./0.png
34.9657682236034,32.097814980405,חוחית,1.00000000000,חרצית  2,גבעת טל,ממלכתי,196927.06539500001,667189.94346500002,"204651",חובה,,,חרצית,2.000000,./0.png
34.9545598872039,32.0851130867615,צבר- התפתחותי,1.00000000000,מגדל דוד 28,מצפה אפק,ממ''ד,195865.80033100001,665783.82404300000,"621615",חינוך מיוחד,,,מגדל דוד,28.000000,./0.png
34.9523952012307,32.0885046756597,ברוש,1.00000000000,המיילדת 5,שבזי,ממ''ד,195662.31687800001,666160.39324000000,"204123",ט. חובה,,,המילדת,5.000000,./0.png
34.9400817045465,32.0992726624891,אורן,1.00000000000,התנאים 24,רמב''ם,ממ''ד,194502.80228800001,667357.24114800000,"203505",ט. חובה,,,התנאים,24.000000,./0.png
34.9456794149967,32.0920142762126,נבל,1.00000000000,ספיר יעקב 10,שבזי,ממ''ד,195029.25458000001,666551.07473500003,"355479",חובה,,,ספיר יעקב,10.000000,./0.png
34.9747932640162,32.0957044072295,נורית,1.00000000000,מבצע דני 23,נווה אפק,ממלכתי,197778.47836199999,666954.05180799996,"204594",ט. חובה,,,מבצע  דני,23.000000,./0.png
34.9571696911373,32.0882906040273,נרקיס,1.00000000000,רמת הגולן 87,מצפה אפק,ממ''ד,196112.99247299999,666135.61165800004,"203489",חובה,,,רמת הגולן,87.000000,./0.png
34.9402932091435,32.0992619189134,פסנתר,1.00000000000,מלאכי יוסף 3,רמב''ם,ממ''ד,194522.76387699999,667356.00086699997,"567917",חובה,,,מלאכי יוסף,3.000000,./0.png
34.9704644530256,32.0938704638163,ספיר נווה דליה,1.00000000000,נווה אפיקים,נווה אפק,ממלכתי,197369.41325400001,666751.56366999994,"204388",חובה,,,נווה אפיקים,0.000000,./0.png
34.9709479245682,32.09393666223,אלמוג נוה דליה,1.00000000000,נווה אפיקים,נווה אפק,ממלכתי,197415.06800599999,666758.80552499997,"204370",חובה,,,נווה אפיקים,0.000000,./0.png
34.9721498052567,32.0939684252506,גלבוע נופים,1.00000000000,נווה אפיקים,נווה אפק,ממלכתי,197528.53092600001,666762.08275800000,"116848",חובה,,,נווה אפיקים,1.000000,./0.png
34.9724083672958,32.0939883974362,חרמון נופים,1.00000000000,נווה אפיקים,נווה אפק,ממלכתי,197552.94346400001,666764.24494100001,"116822",חובה,,,נווה אפיקים,0.000000,./0.png
34.9564780577503,32.0955534838161,שיר,1.00000000000,עלי הכהן 13,הרקפות,ממ''ד,196049.55095100001,666941.14390699996,"355453",ט. חובה,,,עלי הכהן,13.000000,./0.png
34.95650357494,32.0953907430579,ענבל,1.00000000000,עלי הכהן 11,הרקפות,ממ''ד,196051.91819999999,666923.09199999995,"204107",חובה,,,עלי הכהן,11.000000,./0.png
34.9480336781831,32.1026401859474,שקד,1.00000000000,"הרש""ש 32",צה''ל,ממ''ד,195254.29898399999,667728.85486900003,"203430",חובה,,,"הרש""ש",32.000000,./0.png
34.948058309612,32.1025178382967,כינור,1.00000000000,"הרש""ש 32",צה''ל,ממ''ד,195256.59166899999,667715.28215600003,"355461",ט. חובה,,,"הרש""ש",32.000000,./0.png
34.948361969839,32.1023335889252,זמר,1.00000000000,יחיא יצחק הלוי 20,צה''ל,ממ''ד,195285.20545899999,667694.78255400003,"447268",חובה,,,יחיא יצחק הלוי,20.000000,./0.png
34.9418337895096,32.0990917162833,מוריה,1.00000000000,"מהריק""א 5",רמב''ם,תורני,194668.13759000000,667336.77187199995,"375261",חובה,,,"מהריק""א",5.000000,./0.png
34.941708277207,32.0993007087065,שלהבת,1.00000000000,"מהריק""א 5",רמב''ם,תורני,194656.34657400000,667359.97598500003,"375246",חובה,,,"מהריק""א",5.000000,./0.png
34.943351453102,32.0999865902835,השלום-דביר שילוב,1.00000000000,"מהריק""א 6",רמב''ם,תורני,194811.63459400000,667435.65697600006,"139006",חובה,,,"מהריק""א",6.000000,./0.png
34.943098636468,32.0998606421951,חורב,1.00000000000,"מהריק""א 6",רמב''ם,תורני,194787.73687100000,667421.74834499997,"544882",ט. חובה,,,"מהריק""א",6.000000,./0.png
34.9428471831297,32.0999631955139,"תשב""ר",1.00000000000,"מהריק""א 6",רמב''ם,תורני,194764.02923300001,667433.17807400005,"544874",ט. חובה,,,"מהריק""א",6.000000,./0.png
34.9487137211742,32.1020711279194,ארז,1.00000000000,יצחק הלוי 29,צה''ל,תורני,195318.33810699999,667665.59934600000,"422881",ט. חובה,,,יצחק הלוי,29.000000,./0.png
34.9500652218561,32.0907014920276,סימפוניה,1.00000000000,דקר 6,שבזי,ממ''ד,195442.93239500001,666404.51497100003,"458604",חובה,,,דקר,6.000000,./0.png
34.9499919516161,32.0908035167596,סול,1.00000000000,דקר 6,אביב,ממ''ד,195436.04225800000,666415.84483099997,"447276",ט. חובה,,,דקר,6.000000,./0.png
34.9564957051433,32.095118709547,חלילית,1.00000000000,עלי הכהן 8,הרקפות,ממ''ד,196051.10596900000,666892.92783399997,"458596",ט. חובה,,,עלי  הכהן,8.000000,./0.png
34.937932603308,32.096281856267,חצב,1.00000000000,העצמאות 6,רמב''ם,ממ''ד,194299.12306000001,667026.08876199997,"203513",חובה,,,העצמאות,6.000000,./0.png
34.9792148335584,32.0936970331417,רותם,1.00000000000,ברקן 58,נווה אפק,ממלכתי,198195.39348999999,666730.57356399996,"523308",ט. חובה,,,ברקן,58.000000,./0.png
34.9591240360072,32.0915602550173,צבעוני,1.00000000000,רמת הגולן 8,מצפה אפק,ממ''ד,196298.31502700000,666497.76261199999,"523290",חובה,,,רמת הגולן,8.000000,./0.png
34.9590494491011,32.0914502157268,מרגנית,1.00000000000,רמת הגולן 8,מצפה אפק,ממ''ד,196291.24621499999,666485.57634799997,"523282",ט. חובה,,,רמת הגולן,8.000000,./0.png
34.9370960822777,32.0987301840875,פעמון,1.00000000000,המוביל הארצי,רמב''ם,ממ''ד,194220.83196200000,667297.78024300002,"458612",ט. חובה,,,המוביל הארצי,11.000000,./0.png
34.9742983117522,32.0857553785136,דובדבן,1.00000000000,יפה ירקוני 6,פסגות אפק,ממלכתי,197729.40286400000,665850.90220200003,"535906",ט. חובה,,,יפה ירקוני,6.000000,./0.png
34.9744418875906,32.0858821511635,אפרסמון,1.00000000000,יפה ירקוני 6,פסגות אפק,ממלכתי,197742.98733599999,665864.93112199998,"535914",חובה,,,יפה ירקוני,6.000000,./0.png
34.9773593280634,32.0886537076866,ריחן,1.00000000000,הרב גורן 3,פסגות אפק,ממלכתי,198019.05942300000,666171.68576100003,"567800",חובה,,,הרב גורן,3.000000,./0.png
34.9773752420505,32.0885565221389,שושן,1.00000000000,הרב גורן 3,פסגות אפק,ממלכתי,198020.53907599999,666160.90568500001,"567818",ט. חובה,,,הרב גורן,3.000000,./0.png
34.9749947722597,32.0861968940661,תות,1.00000000000,יפה ירקוני 6,פסגות אפק,ממלכתי,197795.25743800000,665899.72183699999,"567826",ט. חובה,,,יפה ירקוני,6.000000,./0.png
34.9748387591716,32.0861883587609,לימון,1.00000000000,יפה ירקוני6,פסגות אפק,ממלכתי,197780.52683399999,665898.80669200001,"567834",חובה,,,יפה ירקוני,6.000000,./0.png
34.9747247101824,32.0860994019444,שיזף,1.00000000000,יפה ירקוני 9,פסגות אפק,ממלכתי,197769.73890699999,665888.96518599999,"567842",ט. חובה,,,יפה ירקוני,9.000000,./0.png
34.9745537599906,32.0860613328298,אשכולית,1.00000000000,יפה ירקוני 6,פסגות אפק,ממלכתי,197753.59115100000,665884.77807600005,"567859",חובה,,,יפה ירקוני,6.000000,./0.png
34.9816979076936,32.0883687301544,תומר,1.00000000000,הרב גורן 69,פסגות אפק,ממלכתי,198428.57160500000,666139.23064800003,"567883",ט. חובה,,,הרב גורן,69.000000,./0.png
34.9815512729735,32.0882680246785,רקפת,1.00000000000,תרצה אתר 1,פסגות אפק,ממלכתי,198414.70564800000,666128.09200199996,"567867",חובה,,,תרצה אתר,1.000000,./0.png
