X,Y,name,folders,descriptio,altitude,alt_mode,time_begin,time_end,time_when,איזור,זרם,כתובת,מגמה,מגמה �,מגמה2,שם הג�,מספר �,icon_url
35.1026951,33.0088192,רימון,"גני ילדים בנהריה תשפ""ד","מספר סדורי: 74<br>איזור: ממשלתי<br>שם הגן ותיאור: רימון (ח)<br>כתובת: אביר יעקב 11 נהריה<br>מגמה: חובה מ""מ <br>זרם: חובה<br>מגמה2: מ""מ<br>מגמה בקיצור: (ח)",0.000000000000000,,,,,ממשלתי,חובה,אביר יעקב 11 נהריה,"חובה מ""מ",(ח),"מ""מ",רימון (ח),"74.0",./0.png
35.1013776,33.0077735,הוד,"גני ילדים בנהריה תשפ""ד","מספר סדורי: 75<br>איזור: ממשלתי<br>שם הגן ותיאור: הוד תורני <br>כתובת: חנה סנש 4 נהריה<br>מגמה: רב גילאי ממ""ד<br>זרם: רב גילאי<br>מגמה2: ממ""ד<br>מגמה בקיצ�",0.000000000000000,,,,,ממשלתי,רב גילאי,חנה סנש 4 נהריה,"רב גילאי ממ""ד",(ר.ג),"ממ""ד",הוד תורני,"75.0",./1.png
35.1045068,33.0095949,"רמב""ם","גני ילדים בנהריה תשפ""ד","מספר סדורי: 76<br>איזור: ממשלתי<br>שם הגן ותיאור: רמב""ם (ח)<br>כתובת: אביר  יעקב 33 נהריה<br>מגמה: חובה ממ""ד <br>זרם: חובה<br>מגמה2: ממ""ד<br>מגמה בקיצור: (ח)",0.000000000000000,,,,,ממשלתי,חובה,אביר  יעקב 33 נהריה,"חובה ממ""ד",(ח),"ממ""ד","רמב""ם (ח)","76.0",./1.png
35.1059207,33.0022155,אפרוחים,"גני ילדים בנהריה תשפ""ד","מספר סדורי: 77<br>איזור: נהריה <br>הירוקה <br>שם הגן ותיאור: אפרוחים (ט.ח)<br>כתובת: נשר 2 נהריה<br>מגמה: טרום חובה מ""מ <br>זרם: טרום חובה<br>מגמה2: מ""מ<br>מג�",0.000000000000000,,,,,"נהריה 
הירוקה",טרום חובה,נשר 2 נהריה,"טרום חובה מ""מ",(ט.ח),"מ""מ",אפרוחים (ט.ח),"77.0",./0.png
35.1060763,33.0021481,חופית,"גני ילדים בנהריה תשפ""ד","מספר סדורי: 78<br>איזור: נהריה<br>הירוקה<br>שם הגן ותיאור: חופית (ח)<br>כתובת: נשר 2 נהריה<br>מגמה: חובה מ""מ <br>זרם: חובה<br>מגמה2: מ""מ<br>מגמה בקיצור: (ח)",0.000000000000000,,,,,"נהריה
הירוקה",חובה,נשר 2 נהריה,"חובה מ""מ",(ח),"מ""מ",חופית (ח),"78.0",./0.png
35.1108502,33.0069058,חוחית,"גני ילדים בנהריה תשפ""ד","מספר סדורי: 83<br>איזור: נהריה<br>הירוקה<br>שם הגן ותיאור: חוחית (ט.ח)<br>כתובת: זמיר 60 נהריה<br>מגמה: טרום חובה ממ""ד <br>זרם: טרום חובה<br>מגמה2: ממ""ד<br>מג",0.000000000000000,,,,,"נהריה
הירוקה",טרום חובה,זמיר 60 נהריה,"טרום חובה ממ""ד",(ט.ח),"ממ""ד",חוחית (ט.ח),"83.0",./1.png
35.1080294,33.0011751,קנרית,"גני ילדים בנהריה תשפ""ד","מספר סדורי: 84<br>איזור: נהריה<br>הירוקה<br>שם הגן ותיאור: קנרית (ח)<br>כתובת: זמיר 1  נהריה<br>מגמה: חובה ממ""ד <br>זרם: חובה<br>מגמה2: ממ""ד<br>מגמה בקיצור: (�",0.000000000000000,,,,,"נהריה
הירוקה",חובה,זמיר 1  נהריה,"חובה ממ""ד",(ח),"ממ""ד",קנרית (ח),"84.0",./1.png
35.1079006,33.0012043,שלדג,"גני ילדים בנהריה תשפ""ד","מספר סדורי: 85<br>איזור: נהריה<br>הירוקה<br>שם הגן ותיאור: שלדג (ח)<br>כתובת: זמיר 1  נהריה<br>מגמה: חובה ממ""ד <br>זרם: חובה<br>מגמה2: ממ""ד<br>מגמה בקיצור: (ח)",0.000000000000000,,,,,"נהריה
הירוקה",חובה,זמיר 1  נהריה,"חובה ממ""ד",(ח),"ממ""ד",שלדג (ח),"85.0",./1.png
35.1109897,33.0069036,עפרוני,"גני ילדים בנהריה תשפ""ד","מספר סדורי: 88<br>איזור: נהריה<br>הירוקה<br>שם הגן ותיאור: עפרוני (ט.ח)<br>כתובת: זמיר 60 נהריה<br>מגמה: טרום חובה מ""מ <br>זרם: טרום חובה<br>מגמה2: מ""מ<br>מגמ",0.000000000000000,,,,,"נהריה
הירוקה",טרום חובה,זמיר 60 נהריה,"טרום חובה מ""מ",(ט.ח),"מ""מ",עפרוני (ט.ח),"88.0",./0.png
35.1103433,33.007124,עגור,"גני ילדים בנהריה תשפ""ד","מספר סדורי: 89<br>איזור: נהריה<br>הירוקה<br>שם הגן ותיאור: עגור (ח)<br>כתובת: זמיר 60 נהריה<br>מגמה: חובה מ""מ<br>זרם: חובה<br>מגמה2: מ""מ<br>מגמה בקיצור: (ח)",0.000000000000000,,,,,"נהריה
הירוקה",חובה,זמיר 60 נהריה,"חובה מ""מ",(ח),"מ""מ",עגור (ח),"89.0",./0.png
35.1103406,33.0072364,שקנאי,"גני ילדים בנהריה תשפ""ד","מספר סדורי: 90<br>איזור: נהריה<br>הירוקה<br>שם הגן ותיאור: שקנאי (ט.ח)<br>כתובת: זמיר 60 נהריה<br>מגמה: טרום חובה מ""מ<br>זרם: טרום חובה<br>מגמה2: מ""מ<br>מגמה",0.000000000000000,,,,,"נהריה
הירוקה",טרום חובה,זמיר 60 נהריה,"טרום חובה מ""מ",(ט.ח),"מ""מ",שקנאי (ט.ח),"90.0",./0.png
35.1075771,33.0012925,תו,"גני ילדים בנהריה תשפ""ד",מספר סדורי: 91<br>איזור: נהריה<br>הירוקה<br>שם הגן ותיאור: תו <br>כתובת: זמיר 1 א נהריה<br>מגמה: חינוך מיוחד<br>זרם: חינוך מיוחד<br>מגמה2: חינוך מיוחד<br>מ�,0.000000000000000,,,,,"נהריה
הירוקה",חינוך מיוחד,זמיר 1 א נהריה,חינוך מיוחד,,חינוך מיוחד,תו,"91.0",./2.png
35.1075571,33.0011841,תלתן,"גני ילדים בנהריה תשפ""ד",מספר סדורי: 92<br>איזור: נהריה<br>הירוקה<br>שם הגן ותיאור: תלתן <br>כתובת: זמיר 1 א נהריה<br>מגמה: חינוך מיוחד <br>זרם: חינוך מיוחד<br>מגמה2: חינוך מיוחד<b,0.000000000000000,,,,,"נהריה
הירוקה",חינוך מיוחד,זמיר 1 א נהריה,חינוך מיוחד,,חינוך מיוחד,תלתן,"92.0",./2.png
35.1036615,33.0045535,גפן,"גני ילדים בנהריה תשפ""ד","מספר סדורי: 93<br>איזור: שפרינצק<br>שם הגן ותיאור: גפן (ח)<br>כתובת: שד' לוי אשכול 15 נהריה<br>מגמה: חובה מ""מ <br>זרם: חובה<br>מגמה2: מ""מ<br>מגמה בקיצור: (ח)",0.000000000000000,,,,,שפרינצק,חובה,שד' לוי אשכול 15 נהריה,"חובה מ""מ",(ח),"מ""מ",גפן (ח),"93.0",./0.png
35.1039467,33.0037737,הדר תורני,"גני ילדים בנהריה תשפ""ד","מספר סדורי: 94<br>איזור: שפרינצק<br>שם הגן ותיאור: הדר (ט.ח)<br>כתובת: שפרינצק 3 נהריה<br>מגמה: טרום חובה ממ""ד תורני<br>זרם: טרום חובה<br>מגמה2: ממ""ד<br>מג�",0.000000000000000,,,,,שפרינצק,טרום חובה,שפרינצק 3 נהריה,"טרום חובה ממ""ד תורני",(ט.ח),"ממ""ד",הדר (ט.ח),"94.0",./1.png
35.1038233,33.0037827,סיגל,"גני ילדים בנהריה תשפ""ד","מספר סדורי: 95<br>איזור: שפרינצק<br>שם הגן ותיאור: סיגל (ט.ח)<br>כתובת: שפרינצק 3 נהריה<br>מגמה: טרום חובה מ""מ <br>זרם: טרום חובה<br>מגמה2: מ""מ<br>מגמה בקיצ",0.000000000000000,,,,,שפרינצק,טרום חובה,שפרינצק 3 נהריה,"טרום חובה מ""מ",(ט.ח),"מ""מ",סיגל (ט.ח),"95.0",./0.png
35.1017086,32.998343,יפה נוף תורני,"גני ילדים בנהריה תשפ""ד","מספר סדורי: 96<br>איזור: אושיסקין <br>שם הגן ותיאור: יפה נוף (ח)<br>כתובת: יפה נוף 24 נהריה<br>מגמה: חובה תורני <br>זרם: חובה<br>מגמה2: ממ""ד<br>מגמה בקיצור:",0.000000000000000,,,,,אושיסקין,חובה,יפה נוף 24 נהריה,חובה תורני,(ח),"ממ""ד",יפה נוף (ח),"96.0",./1.png
35.1015556,32.9982844,אתרוג תורני,"גני ילדים בנהריה תשפ""ד","מספר סדורי: 97<br>איזור: אושיסקין<br>שם הגן ותיאור: אתרוג (ט.ח)<br>כתובת: יפה נוף 24 נהריה<br>מגמה: טרום חובה תורני<br>זרם: טרום חובה<br>מגמה2: ממ""ד<br>מגמ�",0.000000000000000,,,,,אושיסקין,טרום חובה,יפה נוף 24 נהריה,טרום חובה תורני,(ט.ח),"ממ""ד",אתרוג (ט.ח),"97.0",./1.png
35.1018688,32.9979777,רותם,"גני ילדים בנהריה תשפ""ד","מספר סדורי: 98<br>איזור: אושיסקין<br>שם הגן ותיאור: רותם (ט.ח)<br>כתובת: יפה נוף 28 נהריה<br>מגמה: טרום חובה מ""מ <br>זרם: טרום חובה<br>מגמה2: מ""מ<br>מגמה בקי",0.000000000000000,,,,,אושיסקין,טרום חובה,יפה נוף 28 נהריה,"טרום חובה מ""מ",(ט.ח),"מ""מ",רותם (ט.ח),"98.0",./0.png
35.1000269,32.998398,תומר,"גני ילדים בנהריה תשפ""ד","מספר סדורי: 99<br>איזור: אושיסקין<br>שם הגן ותיאור: תומר (ח)<br>כתובת: חרמון 29 נהריה<br>מגמה: חובה ממ""ד <br>זרם: חובה<br>מגמה2: ממ""ד<br>מגמה בקיצור: (ח)",0.000000000000000,,,,,אושיסקין,חובה,חרמון 29 נהריה,"חובה ממ""ד",(ח),"ממ""ד",תומר (ח),"99.0",./1.png
35.0998111,33.0020205,תמר,"גני ילדים בנהריה תשפ""ד","מספר סדורי: 100<br>איזור: אושיסקין<br>שם הגן ותיאור: תמר (ט.ח)<br>כתובת: שפרינצק 14 נהריה<br>מגמה: טרום חובה מ""מ <br>זרם: טרום חובה<br>מגמה2: מ""מ<br>מגמה בקי",0.000000000000000,,,,,אושיסקין,טרום חובה,שפרינצק 14 נהריה,"טרום חובה מ""מ",(ט.ח),"מ""מ",תמר (ט.ח),"100.0",./0.png
35.0994838,33.0021083,תות,"גני ילדים בנהריה תשפ""ד","מספר סדורי: 101<br>איזור: אושיסקין<br>שם הגן ותיאור: תות (ח)<br>כתובת: שפרינצק 14 נהריה<br>מגמה: חובה מ""מ<br>זרם: חובה<br>מגמה2: מ""מ<br>מגמה בקיצור: (ח)",0.000000000000000,,,,,אושיסקין,חובה,שפרינצק 14 נהריה,"חובה מ""מ",(ח),"מ""מ",תות (ח),"101.0",./0.png
35.1086406,33.0187021,שוהם,"גני ילדים בנהריה תשפ""ד","מספר סדורי: <br>איזור: יצחק שמיר<br>שם הגן ותיאור: שוהם<br>כתובת: יוסף שהרי 6<br>מגמה: חובה מ""מ<br>זרם: ממ""ד<br>מגמה2: מ""מ<br>מגמה בקיצור: (ח)",0.000000000000000,,,,,יצחק שמיר,"ממ""ד",יוסף שהרי 6,"חובה מ""מ",(ח),"מ""מ",שוהם,,./0.png
